,time,output,current
9851,31494.07149588806,3.6246116,-0.6796013799999999
9852,31495.07149593555,3.624572,-0.6796211499999999
9853,31496.07149598305,3.6248085,-0.67958167
9854,31497.07149603055,3.624572,-0.6795620099999999
9855,31498.07149607805,3.6246903,-0.67973944
9856,31499.07149612554,3.6244934,-0.67964087
9857,31500.07149617304,3.6244144,-0.6795620099999999
9858,31501.07149622054,3.624572,-0.67964087
9859,31502.07149626804,3.624454,-0.6795422999999999
9860,31503.07149631553,3.6242568,-0.67952252
9861,31504.07149636303,3.624454,-0.6796013799999999
9862,31505.07149641053,3.6242175,-0.6795620099999999
9863,31506.07149645803,3.6240599,-0.67958167
9864,31507.07149650552,3.6240599,-0.67952252
9865,31508.07149655302,3.6241388,-0.67966058
9866,31509.07149660052,3.6240599,-0.67948315
9867,31510.07149664802,3.6239023,-0.67958167
9868,31511.07149669551,3.6237447,-0.6795422999999999
9869,31512.07149674301,3.6239023,-0.67966058
9870,31513.07149679051,3.6239812,-0.67958167
9871,31514.07149683801,3.6240206,-0.6798183
9872,31515.0714968855,3.6238236,-0.6796013799999999
9873,31516.071496933,3.623863,-0.6797197300000001
9874,31517.0714969805,3.6237054,-0.67944366
9875,31518.071497028,3.623666,-0.67952252
9876,31519.07149707549,3.6236265,-0.6796211499999999
9877,31520.07149712299,3.6235478,-0.67958167
9878,31521.07149717049,3.6235478,-0.67964087
9879,31522.07149721798,3.6234295,-0.6796013799999999
9880,31523.07149726548,3.6235871,-0.67964087
9881,31524.07149731298,3.6235085,-0.67970001
9882,31525.07149736048,3.6231933,-0.67952252
9883,31526.07149740797,3.6232719,-0.67970001
9884,31527.07149745547,3.6234295,-0.67973944
9885,31528.07149750297,3.6231143,-0.67958167
9886,31529.07149755047,3.6231933,-0.67966058
9887,31530.07149759796,3.6231143,-0.67966058
9888,31531.07149764546,3.6229568,-0.6796013799999999
9889,31532.07149769296,3.6230357,-0.6795422999999999
9890,31533.07149774046,3.6229961,-0.67958167
9891,31534.07149778795,3.6230357,-0.6795620099999999
9892,31535.07149783545,3.6227992,-0.67946344
9893,31536.07149788295,3.6229961,-0.67964087
9894,31537.07149793045,3.6227992,-0.6795422999999999
9895,31538.07149797794,3.6226809,-0.67946344
9896,31539.07149802544,3.6228385,-0.6795620099999999
9897,31540.07149807294,3.6226022,-0.6796211499999999
9898,31541.07149812044,3.6227598,-0.67975909
9899,31542.07149816793,3.6227598,-0.6797197300000001
9900,31543.07149821543,3.6226416,-0.67952252
9901,31544.07149826293,3.6225629,-0.6795422999999999
9902,31545.07149831043,3.622484,-0.67973944
9903,31546.07149835792,3.6224446,-0.67966058
9904,31547.07149840542,3.6223657,-0.67970001
9905,31548.07149845292,3.622287,-0.67958167
9906,31549.07149850042,3.6223657,-0.6796211499999999
9907,31550.07149854791,3.6221294,-0.67964087
9908,31551.07149859541,3.622287,-0.6796013799999999
9909,31552.07149864291,3.6222477,-0.67966058
9910,31553.07149869041,3.6221294,-0.67968024
9911,31554.0714987379,3.6222477,-0.6795028099999999
9912,31555.0714987854,3.6219325,-0.6794043000000001
9913,31556.0714988329,3.6218932,-0.67946344
9914,31557.0714988804,3.6220112,-0.67970001
9915,31558.07149892789,3.6218143,-0.67966058
9916,31559.07149897539,3.6218932,-0.6795422999999999
9917,31560.07149902289,3.6218932,-0.67964087
9918,31561.07149907039,3.6220508,-0.6796211499999999
9919,31562.07149911788,3.6218143,-0.67973944
9920,31563.07149916538,3.6217356,-0.67946344
9921,31564.07149921288,3.621696,-0.6796211499999999
9922,31565.07149926038,3.6215384,-0.67952252
9923,31566.07149930787,3.6216173,-0.6795422999999999
9924,31567.07149935537,3.6213808,-0.6795028099999999
9925,31568.07149940287,3.6216567,-0.67964087
9926,31569.07149945037,3.6216173,-0.6796013799999999
9927,31570.07149949786,3.6214597,-0.6795422999999999
9928,31571.07149954536,3.6213808,-0.6795422999999999
9929,31572.07149959286,3.6212628,-0.67952252
9930,31573.07149964035,3.6212628,-0.6795620099999999
9931,31574.07149968785,3.6213808,-0.67964087
9932,31575.07149973535,3.6211445,-0.67952252
9933,31576.07149978285,3.6212628,-0.6796013799999999
9934,31577.07149983034,3.6211445,-0.67966058
9935,31578.07149987784,3.6212628,-0.6797197300000001
9936,31579.07149992534,3.6212232,-0.67968024
9937,31580.07149997284,3.6210656,-0.67958167
